country,is_urban,age,female,married,religion,relationship_to_hh_head,education_level,literate,can_add,can_divide,employed_last_year,employment_category_last_year,employment_type_last_year,income_own_business_last_year,income_private_sector_last_year,income_public_sector_last_year,num_times_borrowed_last_year,borrowing_recency,formal_savings,informal_savings,has_insurance,has_investment,bank_interest_rate,borrowed_for_emergency_last_year,borrowed_for_daily_expenses_last_year,borrowed_for_home_or_biz_last_year,can_call_viaphone,can_text_viaphone,can_use_internet_viaphone,active_bank_user,poverty_probability
C,FALSE,18,TRUE,TRUE,P,Other,1,TRUE,TRUE,TRUE,FALSE,housewife_or_student,not_working,FALSE,FALSE,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,0.515
C,TRUE,30,TRUE,TRUE,P,Other,1,TRUE,TRUE,TRUE,FALSE,housewife_or_student,not_working,FALSE,FALSE,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,0.981
A,FALSE,20,TRUE,TRUE,Q,Spouse,1,TRUE,TRUE,TRUE,TRUE,employed,irregular_seasonal,FALSE,FALSE,FALSE,1,2,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0.982
A,FALSE,61,FALSE,TRUE,Q,Head,0,FALSE,TRUE,TRUE,TRUE,employed,self_employed,FALSE,FALSE,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0.879
D,FALSE,26,TRUE,TRUE,X,Spouse,1,TRUE,FALSE,TRUE,FALSE,housewife_or_student,not_working,FALSE,FALSE,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0.796
A,TRUE,36,TRUE,TRUE,Q,Spouse,1,FALSE,TRUE,TRUE,FALSE,housewife_or_student,not_working,FALSE,FALSE,FALSE,1,2,TRUE,FALSE,FALSE,FALSE,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0.915
C,FALSE,35,FALSE,TRUE,P,Head,1,FALSE,TRUE,TRUE,TRUE,employed,irregular_seasonal,FALSE,TRUE,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,0.447
D,TRUE,33,TRUE,TRUE,Q,Spouse,1,TRUE,TRUE,TRUE,TRUE,employed,self_employed,TRUE,FALSE,FALSE,0,0,FALSE,FALSE,TRUE,FALSE,,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0.612
G,FALSE,42,FALSE,FALSE,X,Head,2,TRUE,TRUE,TRUE,TRUE,employed,salaried,FALSE,FALSE,TRUE,3,2,TRUE,FALSE,TRUE,TRUE,,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0.404
C,FALSE,32,TRUE,TRUE,P,Spouse,1,TRUE,TRUE,TRUE,FALSE,housewife_or_student,not_working,FALSE,FALSE,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,0.99
A,FALSE,29,FALSE,TRUE,Q,Head,0,FALSE,TRUE,TRUE,TRUE,employed,irregular_seasonal,FALSE,FALSE,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0.949
D,FALSE,26,TRUE,TRUE,X,Spouse,1,FALSE,FALSE,TRUE,TRUE,employed,irregular_seasonal,TRUE,FALSE,FALSE,0,0,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.612
F,FALSE,30,TRUE,TRUE,Q,Spouse,0,FALSE,TRUE,TRUE,TRUE,employed,irregular_seasonal,FALSE,FALSE,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.925
C,TRUE,50,FALSE,TRUE,P,Spouse,2,TRUE,TRUE,TRUE,TRUE,employed,salaried,FALSE,TRUE,FALSE,0,0,FALSE,FALSE,TRUE,FALSE,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,0.447
A,FALSE,50,TRUE,FALSE,Q,Head,1,FALSE,TRUE,TRUE,FALSE,housewife_or_student,not_working,FALSE,FALSE,FALSE,0,0,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,0.633
I,TRUE,19,TRUE,FALSE,Q,Son/Daughter,2,TRUE,TRUE,TRUE,FALSE,housewife_or_student,not_working,FALSE,FALSE,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,0.161
J,FALSE,49,FALSE,FALSE,X,Head,0,FALSE,TRUE,FALSE,TRUE,employed,irregular_seasonal,FALSE,FALSE,FALSE,2,2,FALSE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.95
G,FALSE,35,TRUE,TRUE,X,Spouse,2,TRUE,TRUE,TRUE,TRUE,employed,self_employed,TRUE,FALSE,FALSE,2,2,FALSE,TRUE,TRUE,TRUE,,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,0.404
D,FALSE,55,TRUE,FALSE,X,Head,0,FALSE,TRUE,FALSE,TRUE,employed,irregular_seasonal,TRUE,FALSE,FALSE,0,0,FALSE,FALSE,TRUE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.757
